Node	Degree	Color	Type
CENPB	2	pink	Transcription_factor
FBXW11	2	green	Interacting_protein
MAPK8	2	blue	Kinase
ATR	2	blue	Kinase
YES1	2	blue	Kinase
CSNK1A1	2	blue	Kinase
CLPTM1	2	green	Interacting_protein
NR2F1	2	blue	Kinase
EIF2AK3	2	blue	Kinase
CAMK2D	2	blue	Kinase
CDK1	2	blue	Kinase
TRIO	2	blue	Kinase
CHUK	2	blue	Kinase
TRAF2	2	green	Interacting_protein
ATF3	1	pink	Transcription_factor
BAZ1B	1	green	Interacting_protein
FERMT2	1	green	Interacting_protein
GLI1	1	pink	Transcription_factor
MBD3	1	pink	Transcription_factor
NCOR1	1	pink	Transcription_factor
NSD2	1	green	Interacting_protein
SP2	1	pink	Transcription_factor
TRAF4	1	green	Interacting_protein
XPO5	1	green	Interacting_protein
ZBTB11	1	pink	Transcription_factor
ZBTB48	1	pink	Transcription_factor
ATM	1	blue	Kinase
ATRIP	1	green	Interacting_protein
BUB1B	1	blue	Kinase
CLIP1	1	green	Interacting_protein
CLK2	1	blue	Kinase
CLK3	1	blue	Kinase
DYRK1A	1	blue	Kinase
EPHB2	1	blue	Kinase
ERF	1	pink	Transcription_factor
FBXL12	1	green	Interacting_protein
FOXG1	1	pink	Transcription_factor
FZD7	1	blue	Kinase
HRH1	1	blue	Kinase
INSR	1	blue	Kinase
IRAK2	1	blue	Kinase
JAK2	1	blue	Kinase
KAT5	1	pink	Transcription_factor
KDR	1	blue	Kinase
MAP2K1	1	blue	Kinase
MAPKAPK5	1	blue	Kinase
MAX	1	pink	Transcription_factor
NLK	1	blue	Kinase
NRBP1	1	blue	Kinase
NUAK1	1	blue	Kinase
OXTR	1	blue	Kinase
PAK2	1	blue	Kinase
PBK	1	blue	Kinase
PIK3CG	1	blue	Kinase
PKN1	1	blue	Kinase
PPARA	1	blue	Kinase
PPARG	1	blue	Kinase
PRDM4	1	pink	Transcription_factor
PRKAA1	1	blue	Kinase
PRKACA	1	blue	Kinase
PRKCZ	1	blue	Kinase
RUNX1	1	pink	Transcription_factor
SGK1	1	blue	Kinase
SGSM3	1	green	Interacting_protein
SH2D5	1	green	Interacting_protein
SIMC1	1	green	Interacting_protein
SMO	1	blue	Kinase
SNAI1	1	pink	Transcription_factor
SPI1	1	pink	Transcription_factor
SYK	1	blue	Kinase
TGFBR2	1	blue	Kinase
TMEM44	1	green	Interacting_protein
TMX2	1	green	Interacting_protein
TRAF3	1	green	Interacting_protein
TRIP10	1	green	Interacting_protein
ZC3HC1	1	green	Interacting_protein
ZNF133	1	pink	Transcription_factor
ZBTB21	1	green	Interacting_protein
BCL7B	1	green	Interacting_protein
INTS6	1	green	Interacting_protein
NPLOC4	1	green	Interacting_protein
SHOC2	1	green	Interacting_protein
ZBED4	1	pink	Transcription_factor
TRAPPC13	1	green	Interacting_protein
TOMM40	1	green	Interacting_protein
ZFHX4	1	pink	Transcription_factor
ZNF536	1	pink	Transcription_factor
ZBTB2	1	pink	Transcription_factor
IRF2	1	pink	Transcription_factor
KANSL1	1	green	Interacting_protein
KANSL2	1	green	Interacting_protein
SIN3B	1	green	Interacting_protein
YTHDC1	1	green	Interacting_protein
ABCE1	1	green	Interacting_protein
ABCF1	1	blue	Kinase
ADNP	1	pink	Transcription_factor
ATF7	1	pink	Transcription_factor
ATXN2	1	green	Interacting_protein
CMSS1	1	green	Interacting_protein
COPS3	1	green	Interacting_protein
CREB5	1	pink	Transcription_factor
CUX1	1	pink	Transcription_factor
FOSB	1	pink	Transcription_factor
FOSL2	1	pink	Transcription_factor
GATAD2A	1	pink	Transcription_factor
HOXB9	1	pink	Transcription_factor
HOXC13	1	pink	Transcription_factor
HOXD13	1	pink	Transcription_factor
ISG20L2	1	green	Interacting_protein
ISOC1	1	green	Interacting_protein
JUND	1	pink	Transcription_factor
MTA1	1	pink	Transcription_factor
MTA2	1	pink	Transcription_factor
NFATC2	1	pink	Transcription_factor
NKRF	1	pink	Transcription_factor
NSUN5	1	green	Interacting_protein
SFSWAP	1	green	Interacting_protein
SIX4	1	pink	Transcription_factor
SRCAP	1	pink	Transcription_factor
TERF2	1	pink	Transcription_factor
TRMT6	1	green	Interacting_protein
TRMT61A	1	green	Interacting_protein
YTHDF2	1	green	Interacting_protein
ZC3HAV1	1	green	Interacting_protein
ZNF687	1	pink	Transcription_factor
ZNF768	1	pink	Transcription_factor
ISG15	1	green	Interacting_protein
SEMG2	1	green	Interacting_protein
TRIM72	1	green	Interacting_protein
DPF3	1	pink	Transcription_factor
RBM6	1	pink	Transcription_factor
UBTF	1	pink	Transcription_factor
BCOR	1	green	Interacting_protein
FBRS	1	green	Interacting_protein
ZNF516	1	pink	Transcription_factor
ZNF440	1	pink	Transcription_factor
NFRKB	1	pink	Transcription_factor
YAE1	1	green	Interacting_protein
TP73	1	green	Interacting_protein
KCTD13	1	green	Interacting_protein
UBR4	1	pink	Transcription_factor
MTOR	1	blue	Kinase
KAT2B	1	pink	Transcription_factor
PIK3R4	1	blue	Kinase
PRKCI	1	blue	Kinase
SETDB1	1	pink	Transcription_factor
JAKMIP1	1	green	Interacting_protein
HIF1A	1	pink	Transcription_factor
TRMT61B	1	green	Interacting_protein
NUMBL	1	green	Interacting_protein
ATP2B1	1	green	Interacting_protein
TGFBR1	1	blue	Kinase
ACVR1	1	blue	Kinase
AKT1	1	blue	Kinase
MAPKAPK3	1	blue	Kinase
TRIB1	1	blue	Kinase
PHKG2	1	blue	Kinase
HIPK1	1	blue	Kinase
AUP1	1	green	Interacting_protein
B4GALT2	1	green	Interacting_protein
NPC1	1	green	Interacting_protein
CNBP	1	green	Interacting_protein
IGF1R	1	blue	Kinase
AURKB	1	blue	Kinase
CDK12	1	blue	Kinase
CSNK1A1L	1	blue	Kinase
CSNK2A2	1	blue	Kinase
EIF2AK2	1	blue	Kinase
MAP4K4	1	blue	Kinase
MYLK	1	blue	Kinase
RPS6KB2	1	blue	Kinase
SRPK1	1	blue	Kinase
VRK1	1	blue	Kinase
ZNF593	1	green	Interacting_protein
ARNTL	1	pink	Transcription_factor
BAG2	1	green	Interacting_protein
BCL11B	1	pink	Transcription_factor
COX10	1	green	Interacting_protein
FAM83C	1	green	Interacting_protein
JPH1	1	green	Interacting_protein
PRR12	1	pink	Transcription_factor
SETBP1	1	green	Interacting_protein
SIDT1	1	green	Interacting_protein
MAP3K8	1	blue	Kinase
ZHX3	1	green	Interacting_protein
RPS6KA5	1	blue	Kinase
TSC22D2	1	pink	Transcription_factor
LATS1	1	blue	Kinase
AXL	1	blue	Kinase
CAMK2G	1	blue	Kinase
CDK8	1	blue	Kinase
ASH1L	1	pink	Transcription_factor
SH3RF1	1	green	Interacting_protein
STK38	1	blue	Kinase
HSF1	1	pink	Transcription_factor
TP63	1	pink	Transcription_factor
IKBKB	1	blue	Kinase
MAPKAPK2	1	blue	Kinase
VDR	1	blue	Kinase
SCYL3	1	blue	Kinase
ITGB1BP1	1	green	Interacting_protein
TRIM24	1	blue	Kinase
BRAF	1	blue	Kinase
FES	1	blue	Kinase
